PredictFile,Created,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
BAT-USD-predict-kknnLDAE-ensamble.csv,2020-11-03T14:10:11.615993Z,0.585,0.575,0.647,0.096,0.123,0.498,0.61,0.882,0.154,0.275
BAT-USD-predict-kknnLDAF-ensamble.csv,2020-11-01T14:17:33.867084Z,0.586,0.559,0.529,0.105,0.047,0.529,0.57,0.765,0.127,0.241
BAT-USD-predict-kknnLDAG-ensamble.csv,2020-11-03T17:31:27.483459Z,0.553,0.557,0.529,0.124,0.173,0.465,0.426,0.529,0.23,0.226
BAT-USD-predict-kknnLDAH-ensamble.csv,2020-11-03T18:59:49.959331Z,0.58,0.589,0.588,0.112,0.089,0.438,0.574,0.941,0.193,0.371
BAT-USD-predict-kknnLDB-ensamble.csv,2020-11-04T14:37:18.567093Z,0.629,0.577,0.647,0.067,0.084,0.498,0.492,0.529,0.122,0.112
BAT-USD-predict-kknnLDC-ensamble.csv,2020-11-04T17:22:26.541982Z,0.629,0.523,0.353,0.089,0.158,0.508,0.407,0.471,0.144,0.093
BAT-USD-predict-kknnLDD-ensamble.csv,2020-11-05T14:32:39.297712Z,0.586,0.645,0.588,0.139,0.078,0.574,0.49,0.588,0.169,0.113
BAT-USD-predict-kknnLDDA-ensamble.csv,2020-11-06T16:34:06.881468Z,0.596,0.597,0.706,0.082,0.111,0.573,0.452,0.471,0.078,0.019
BAT-USD-predict-kknnLDDB-ensamble.csv,2020-11-06T17:15:34.356147Z,0.613,0.522,0.647,0.127,0.115,0.471,0.565,0.647,0.157,0.091
BAT-USD-predict-kknnLDDC-ensamble.csv,2020-11-06T19:47:38.029045Z,0.591,0.459,0.294,0.116,0.143,0.568,0.454,0.412,0.082,0.044
BAT-USD-predict-kknnLDDD-ensamble.csv,2020-11-06T20:38:35.111079Z,0.623,0.555,0.647,0.074,0.098,0.45,0.37,0.294,0.243,0.1
BAT-USD-predict-kknnLDDE-ensamble.csv,2020-11-06T21:32:24.721097Z,0.629,0.572,0.765,0.089,0.176,0.609,0.669,0.529,0.151,0.124
BAT-USD-predict-kknnLDDF-ensamble.csv,2020-11-07T12:09:32.548659Z,0.59,0.534,0.588,0.087,0.062,0.613,0.562,0.471,0.084,0.083
BAT-USD-predict-kknnLDE-ensamble.csv,2020-11-06T12:57:18.240273Z,0.64,0.514,0.294,0.072,0.195,0.499,0.343,0.176,0.185,0.144
